                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.49532,                0.69768,                0.95628,                0.97262,                0.93722,                0.94757,                0.82433,                0.58131,                0.73939,                 1.1421,             0.00056319,             0.00056319,             0.00056319
                    113,                0.54222,                0.71669,                 1.0281,                0.97262,                0.93722,                0.94757,                0.82433,                0.58131,                0.73939,                 1.1421,               0.000557,               0.000557,               0.000557
                    114,                 0.5266,                0.73967,                0.99516,                0.98045,                0.93724,                0.94599,                0.81922,                0.60177,                 0.7357,                 1.1569,             0.00055081,             0.00055081,             0.00055081
                    115,                   0.55,                0.68231,                0.98897,                0.98425,                  0.939,                0.94677,                0.81342,                0.60923,                0.74576,                 1.1646,             0.00054463,             0.00054463,             0.00054463
                    116,                 0.5403,                 0.7196,                0.98674,                 0.9872,                0.93926,                0.94618,                0.80453,                0.61892,                0.76007,                 1.1675,             0.00053844,             0.00053844,             0.00053844
                    117,                0.56283,                0.70884,                 1.0194,                 0.9872,                0.93926,                0.94618,                0.80453,                0.61892,                0.76007,                 1.1675,             0.00053225,             0.00053225,             0.00053225
                    118,                0.53024,                0.69429,                 1.0572,                0.98132,                0.93787,                0.94563,                0.79457,                0.64724,                0.79516,                 1.1804,             0.00052606,             0.00052606,             0.00052606
                    119,                0.57752,                0.69836,                 1.0286,                0.96945,                0.93847,                0.94539,                0.80759,                0.63577,                0.81187,                 1.1702,             0.00051988,             0.00051988,             0.00051988
                    120,                0.49098,                0.64899,                0.94552,                0.98178,                0.93518,                0.94533,                0.80471,                 0.6127,                0.76274,                 1.1485,             0.00051369,             0.00051369,             0.00051369
                    121,                0.51792,                0.66064,                0.99933,                0.98178,                0.93518,                0.94533,                0.80471,                 0.6127,                0.76274,                 1.1485,              0.0005075,              0.0005075,              0.0005075
                    122,                0.56837,                0.75216,                 1.0567,                0.99105,                0.93348,                0.94544,                0.80612,                0.61956,                0.72412,                 1.1493,             0.00050131,             0.00050131,             0.00050131
                    123,                0.56162,                0.71307,                 0.9861,                0.98973,                 0.9359,                0.94557,                0.80024,                0.62619,                0.69363,                   1.15,             0.00049513,             0.00049513,             0.00049513
                    124,                0.55257,                0.72226,                 1.0153,                 0.9873,                0.93837,                0.94537,                0.80454,                0.62966,                0.68866,                 1.1547,             0.00048894,             0.00048894,             0.00048894
                    125,                0.50435,                0.64427,                0.99123,                 0.9873,                0.93837,                0.94537,                0.80454,                0.62966,                0.68866,                 1.1547,             0.00048275,             0.00048275,             0.00048275
                    126,                 0.5635,                0.67212,                 1.0295,                0.98415,                0.94461,                0.94531,                 0.7951,                0.64086,                0.67904,                 1.1769,             0.00047656,             0.00047656,             0.00047656
                    127,                0.52016,                0.63449,                0.98475,                0.98244,                 0.9468,                 0.9453,                 0.8031,                0.64919,                0.69059,                 1.1994,             0.00047038,             0.00047038,             0.00047038
                    128,                0.51524,                0.64494,                0.93689,                0.97768,                0.94503,                0.94527,                0.80013,                0.65075,                0.71183,                 1.2177,             0.00046419,             0.00046419,             0.00046419
                    129,                0.51697,                0.62267,                 0.9843,                0.97768,                0.94503,                0.94527,                0.80013,                0.65075,                0.71183,                 1.2177,               0.000458,               0.000458,               0.000458
