                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.57093,                0.37508,                 1.0117,                0.99509,                      1,                  0.995,                0.79889,                0.77035,                0.38376,                 1.3031,              0.0091783,              0.0091783,              0.0091783
                     85,                 0.5596,                0.36348,                 1.0017,                0.99461,                0.99634,                  0.995,                0.79043,                0.81927,                0.35279,                 1.3492,              0.0091684,              0.0091684,              0.0091684
                     86,                0.56536,                0.37561,                 1.0063,                0.98968,                0.99792,                0.99492,                0.79061,                0.78679,                0.35166,                 1.2984,              0.0091585,              0.0091585,              0.0091585
                     87,                 0.5679,                0.37625,                 1.0086,                0.98182,                      1,                0.99486,                0.79892,                0.75083,                0.36486,                 1.2861,              0.0091486,              0.0091486,              0.0091486
                     88,                0.57342,                 0.3733,                 1.0108,                0.99146,                0.99789,                  0.995,                0.77393,                0.86095,                0.38934,                 1.4096,              0.0091387,              0.0091387,              0.0091387
                     89,                0.56603,                0.36772,                 1.0067,                0.99564,                      1,                  0.995,                0.78472,                0.82212,                0.38196,                 1.3539,              0.0091288,              0.0091288,              0.0091288
                     90,                0.56605,                0.36498,                 1.0102,                0.99332,                0.99999,                  0.995,                 0.7804,                0.82224,                0.36281,                 1.3417,              0.0091189,              0.0091189,              0.0091189
                     91,                0.56517,                0.36521,                 1.0085,                0.99235,                0.99953,                  0.995,                 0.7772,                0.83312,                0.39393,                 1.3573,               0.009109,               0.009109,               0.009109
                     92,                0.56149,                0.36584,                 1.0062,                0.99365,                0.99875,                  0.995,                0.78714,                  0.797,                0.35098,                 1.3649,              0.0090991,              0.0090991,              0.0090991
                     93,                0.56323,                0.35869,                 1.0042,                0.99482,                0.99792,                0.99496,                0.80173,                0.78399,                0.34171,                 1.3199,              0.0090892,              0.0090892,              0.0090892
                     94,                0.56178,                0.36158,                 1.0076,                0.99252,                0.99654,                0.99496,                0.78742,                0.78137,                0.36302,                 1.2974,              0.0090793,              0.0090793,              0.0090793
                     95,                0.55401,                0.35826,                 1.0013,                0.99018,                0.99877,                  0.995,                0.78776,                0.82713,                0.34235,                 1.3931,              0.0090694,              0.0090694,              0.0090694
                     96,                0.55765,                0.35792,                 1.0074,                0.98937,                0.99375,                0.99463,                0.80228,                0.76279,                0.36186,                 1.2987,              0.0090595,              0.0090595,              0.0090595
                     97,                 0.5526,                0.36178,                 1.0043,                0.99387,                0.99375,                0.99468,                0.77935,                0.79003,                 0.3698,                 1.3516,              0.0090496,              0.0090496,              0.0090496
                     98,                0.54818,                0.36095,                 0.9987,                0.98016,                0.98923,                0.99475,                0.77184,                0.83537,                0.38491,                 1.3753,              0.0090397,              0.0090397,              0.0090397
                     99,                0.53759,                0.34794,                 0.9914,                0.99264,                0.99678,                  0.995,                0.79287,                0.76274,                0.34157,                 1.3216,              0.0090298,              0.0090298,              0.0090298
                    100,                 0.5514,                0.35933,                 1.0016,                 0.9896,                      1,                  0.995,                0.78373,                0.82539,                0.35438,                 1.3988,              0.0090199,              0.0090199,              0.0090199
                    101,                0.54378,                0.34614,                0.99948,                0.98763,                      1,                0.99496,                0.79082,                0.76965,                0.34723,                 1.2908,                0.00901,                0.00901,                0.00901
                    102,                0.54149,                0.35688,                 0.9997,                0.98835,                0.99424,                0.99479,                0.78132,                0.79581,                0.35962,                 1.3478,              0.0090001,              0.0090001,              0.0090001
                    103,                0.55872,                0.36291,                 1.0022,                0.98704,                0.99507,                  0.995,                0.78546,                0.79586,                0.36471,                 1.3402,              0.0089902,              0.0089902,              0.0089902
                    104,                0.53227,                0.34286,                0.99116,                0.97136,                0.99016,                0.99492,                0.78598,                0.77971,                0.36704,                 1.3222,              0.0089803,              0.0089803,              0.0089803
                    105,                0.55349,                0.34917,                 1.0028,                0.98811,                0.99853,                  0.995,                0.79079,                0.78646,                0.33577,                 1.3655,              0.0089704,              0.0089704,              0.0089704
                    106,                0.54023,                0.35231,                0.99651,                0.99325,                0.99851,                  0.995,                0.79802,                 0.7802,                0.35856,                 1.3386,              0.0089605,              0.0089605,              0.0089605
                    107,                0.54873,                0.36093,                0.99816,                  0.994,                0.99858,                 0.9949,                0.78996,                0.77292,                0.36397,                 1.3364,              0.0089506,              0.0089506,              0.0089506
                    108,                0.55111,                0.35571,                 1.0019,                0.98971,                0.99991,                0.99409,                0.81227,                0.69918,                0.34235,                 1.2357,              0.0089407,              0.0089407,              0.0089407
                    109,                0.54319,                0.35013,                0.99555,                0.99608,                0.99382,                  0.995,                0.80516,                0.77467,                0.33755,                 1.3406,              0.0089308,              0.0089308,              0.0089308
                    110,                0.54267,                0.35474,                0.99342,                0.99172,                0.99901,                  0.995,                0.79897,                0.76354,                0.37337,                 1.3131,              0.0089209,              0.0089209,              0.0089209
                    111,                0.53916,                 0.3499,                0.99608,                0.99177,                      1,                0.99486,                0.80525,                0.75051,                0.36059,                 1.2698,               0.008911,               0.008911,               0.008911
                    112,                0.53648,                0.34245,                0.99546,                0.99594,                0.99801,                  0.995,                0.78846,                0.81721,                0.35803,                 1.3958,              0.0089011,              0.0089011,              0.0089011
                    113,                0.53934,                0.35023,                0.99653,                0.99524,                0.99877,                  0.995,                 0.7978,                0.76629,                0.36519,                 1.3229,              0.0088912,              0.0088912,              0.0088912
                    114,                0.53298,                 0.3397,                0.99346,                0.99395,                0.99375,                0.99472,                0.80529,                0.70056,                0.36736,                 1.2301,              0.0088813,              0.0088813,              0.0088813
                    115,                0.53395,                0.34456,                0.99052,                0.99237,                0.99861,                  0.995,                0.78913,                0.77471,                0.35959,                 1.3439,              0.0088714,              0.0088714,              0.0088714
                    116,                0.53537,                0.34172,                 1.0002,                0.99485,                      1,                  0.995,                0.79361,                0.80497,                 0.3483,                 1.3959,              0.0088615,              0.0088615,              0.0088615
                    117,                0.52681,                0.33513,                0.99093,                0.99072,                0.99765,                0.99496,                0.78862,                0.78393,                0.35616,                 1.3543,              0.0088516,              0.0088516,              0.0088516
                    118,                0.53684,                0.34948,                0.99447,                0.97705,                0.99803,                0.99465,                0.79637,                0.75663,                0.33906,                 1.3235,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.5306,                0.34704,                0.99171,                0.99436,                0.98333,                0.99466,                 0.7967,                0.76174,                0.36545,                 1.3186,              0.0088318,              0.0088318,              0.0088318
                    120,                0.53302,                0.34669,                0.99062,                0.97994,                0.99379,                 0.9942,                0.79346,                0.76248,                0.33192,                 1.3138,              0.0088219,              0.0088219,              0.0088219
                    121,                0.53197,                0.34641,                0.99124,                0.99269,                 0.9961,                0.99492,                0.80742,                0.73105,                0.35481,                 1.2983,               0.008812,               0.008812,               0.008812
                    122,                0.51882,                0.33772,                0.98955,                0.98729,                0.99458,                0.99434,                0.79936,                 0.7508,                 0.3533,                 1.3273,              0.0088021,              0.0088021,              0.0088021
                    123,                0.53556,                0.34578,                 0.9936,                0.98771,                0.99608,                0.99496,                0.78863,                0.78393,                0.36122,                 1.3497,              0.0087922,              0.0087922,              0.0087922
                    124,                0.53322,                0.33904,                0.99479,                0.98552,                0.99552,                  0.995,                0.78278,                0.81503,                 0.3691,                 1.4088,              0.0087823,              0.0087823,              0.0087823
                    125,                0.52276,                0.33775,                0.98677,                0.99138,                0.99476,                0.99486,                0.78709,                 0.8005,                0.35404,                 1.3684,              0.0087724,              0.0087724,              0.0087724
                    126,                0.51918,                0.33414,                0.98104,                0.97905,                0.99754,                0.99413,                0.79146,                0.76328,                0.35126,                 1.3371,              0.0087625,              0.0087625,              0.0087625
                    127,                 0.5247,                 0.3368,                0.98608,                0.99543,                0.99354,                0.99472,                 0.8054,                0.74587,                0.33095,                 1.3161,              0.0087526,              0.0087526,              0.0087526
                    128,                0.52549,                 0.3427,                0.99196,                0.99489,                0.99792,                0.99496,                0.78539,                0.77092,                0.36062,                 1.3515,              0.0087427,              0.0087427,              0.0087427
                    129,                0.51454,                0.33674,                0.98174,                0.99011,                0.99893,                  0.995,                0.78602,                0.79772,                0.34912,                 1.4083,              0.0087328,              0.0087328,              0.0087328
                    130,                0.51474,                0.32923,                0.97873,                0.99295,                0.99525,                0.99469,                0.79222,                0.77475,                0.35987,                 1.3471,              0.0087229,              0.0087229,              0.0087229
                    131,                0.50702,                0.32902,                0.97851,                0.99412,                0.99583,                0.99479,                0.79272,                0.75026,                0.34343,                 1.3392,               0.008713,               0.008713,               0.008713
                    132,                0.50702,                 0.3284,                0.97758,                0.99368,                0.99375,                0.99465,                0.77031,                0.81825,                0.35462,                 1.4673,              0.0087031,              0.0087031,              0.0087031
                    133,                0.52579,                0.33929,                0.99064,                0.99316,                0.99375,                0.99453,                0.79275,                0.73701,                0.34656,                 1.3172,              0.0086932,              0.0086932,              0.0086932
