                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.69491,                0.49836,                  1.081,                0.95488,                0.97037,                0.99376,                0.80951,                0.74961,                0.43441,                 1.1906,              0.0095347,              0.0095347,              0.0095347
                     49,                0.69761,                 0.5173,                 1.0735,                0.95404,                0.98352,                0.98927,                0.80165,                0.72902,                0.39534,                 1.1944,              0.0095248,              0.0095248,              0.0095248
                     50,                0.69399,                0.49448,                 1.0804,                0.99143,                      1,                  0.995,                0.77332,                0.77352,                0.42703,                 1.2212,              0.0095149,              0.0095149,              0.0095149
                     51,                0.67825,                0.48348,                 1.0678,                0.98572,                0.99561,                 0.9948,                0.77071,                0.82268,                0.42754,                  1.296,               0.009505,               0.009505,               0.009505
                     52,                0.68659,                0.48791,                 1.0798,                0.97654,                      1,                 0.9946,                0.77131,                0.81067,                0.39915,                 1.2675,              0.0094951,              0.0094951,              0.0094951
                     53,                0.69084,                 0.4932,                  1.073,                0.96939,                0.99602,                0.99343,                0.79842,                0.79011,                0.38899,                 1.2116,              0.0094852,              0.0094852,              0.0094852
                     54,                0.68707,                0.48557,                 1.0765,                0.95096,                 0.9889,                0.98686,                0.76568,                0.79778,                0.48194,                  1.305,              0.0094753,              0.0094753,              0.0094753
                     55,                0.68161,                0.48342,                 1.0661,                0.98631,                0.99167,                 0.9946,                0.78931,                0.75639,                0.39862,                 1.2185,              0.0094654,              0.0094654,              0.0094654
                     56,                 0.6775,                0.49078,                 1.0617,                0.97592,                0.99444,                 0.9948,                0.77681,                0.78801,                0.41268,                 1.2466,              0.0094555,              0.0094555,              0.0094555
                     57,                0.68092,                0.47589,                 1.0722,                0.98456,                 0.9869,                 0.9946,                0.80144,                0.74856,                0.39551,                 1.2115,              0.0094456,              0.0094456,              0.0094456
                     58,                0.68107,                0.49045,                  1.077,                0.96747,                      1,                0.99314,                0.76894,                0.83817,                0.39441,                 1.3071,              0.0094357,              0.0094357,              0.0094357
                     59,                0.67936,                0.48388,                 1.0692,                 0.9841,                0.96203,                0.99424,                0.79664,                0.77433,                0.40114,                 1.2407,              0.0094258,              0.0094258,              0.0094258
                     60,                0.66616,                0.45433,                 1.0655,                0.95693,                0.97282,                0.98731,                0.78085,                 0.7855,                0.41009,                 1.2602,              0.0094159,              0.0094159,              0.0094159
                     61,                0.69265,                 0.4795,                 1.0756,                0.98756,                      1,                  0.995,                0.78718,                0.80725,                0.41992,                 1.2925,               0.009406,               0.009406,               0.009406
