                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.60739,                 1.0811,                 1.0348,                0.91581,                0.90231,                0.94298,                0.77689,                0.65226,                 1.4191,                 1.0728,             0.00056938,             0.00056938,             0.00056938
                     58,                0.59366,                 1.0252,                0.98539,                0.96046,                0.91554,                0.94508,                0.78517,                0.65467,                 1.3558,                 1.0709,               0.000557,               0.000557,               0.000557
                     59,                  0.561,                0.99392,                0.98031,                 0.9539,                0.94786,                0.94515,                0.78945,                 0.6926,                 1.2757,                 1.0855,             0.00054463,             0.00054463,             0.00054463
                     60,                0.58013,                0.97321,                0.96118,                0.95571,                   0.95,                0.94514,                0.76885,                0.72604,                  1.229,                 1.1199,             0.00053225,             0.00053225,             0.00053225
                     61,                0.64313,                 1.0159,                 1.0111,                0.95571,                   0.95,                0.94514,                0.76885,                0.72604,                  1.229,                 1.1199,             0.00051988,             0.00051988,             0.00051988
                     62,                0.59319,                0.91191,                0.98552,                0.94743,                   0.95,                0.94507,                0.77861,                0.74565,                   1.22,                 1.1313,              0.0005075,              0.0005075,              0.0005075
                     63,                0.60121,                0.96157,                0.99681,                0.94232,                0.90399,                0.94507,                0.77541,                0.74979,                 1.2205,                 1.1125,             0.00049513,             0.00049513,             0.00049513
                     64,                0.57279,                0.92257,                 1.0077,                0.95285,                0.90403,                0.94512,                0.78968,                0.70993,                 1.1914,                 1.0679,             0.00048275,             0.00048275,             0.00048275
                     65,                0.55648,                0.96535,                0.97215,                0.95285,                0.90403,                0.94512,                0.78968,                0.70993,                 1.1914,                 1.0679,             0.00047038,             0.00047038,             0.00047038
                     66,                0.59031,                0.93976,                 1.0165,                0.91933,                   0.95,                 0.9452,                0.79797,                0.66544,                 1.1457,                 1.0263,               0.000458,               0.000458,               0.000458
                     67,                 0.6581,                0.90924,                 1.0092,                0.96885,                   0.95,                0.94549,                 0.7975,                0.63751,                 1.1247,                 1.0059,             0.00044563,             0.00044563,             0.00044563
                     68,                0.52717,                0.91383,                0.95419,                 0.9938,                0.94636,                0.94563,                0.81363,                0.61474,                 1.0938,                0.99141,             0.00043325,             0.00043325,             0.00043325
